"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
1 0.00189324
2 0.002876987
3 0.003690805
4 0.004225211
5 0.004560964
6 0.00472404
7 0.004759836
8 0.004736889
9 0.004700607
10 0.004668114
11 0.004647661
12 0.004640177
13 0.004642044
14 0.004650568
15 0.00466208
16 0.00467345
17 0.004683233
18 0.004690527
19 0.004694919
20 0.004695582
21 0.004693089
22 0.004688269
23 0.004682612
24 0.004676966
25 0.004672315
26 0.004668894
27 0.004666902
28 0.004665929
29 0.004665875
30 0.004666253
31 0.004666822
32 0.004667235
33 0.004667456
34 0.004667436
35 0.004667322
36 0.0046671
37 0.004666835
38 0.004666498
39 0.004666201
40 0.004665914
41 0.004665687
42 0.004665471
43 0.00466531
44 0.004665159
45 0.004665046
46 0.004664931
47 0.004664841
48 0.004664742
49 0.004664664
50 0.004664576
51 0.004664507
52 0.004663303
53 0.006560887
54 0.01206602
55 0.01552963
56 0.01789116
57 0.01924019
58 0.01973477
59 0.01981714
60 0.0197189
61 0.01956403
62 0.0194442
63 0.01936237
64 0.01930285
65 0.01926431
66 0.01924441
67 0.0192279
68 0.01920966
69 0.01919165
70 0.01917456
71 0.01915552
72 0.01913565
73 0.01911591
74 0.01909652
75 0.01907817
76 0.01906153
77 0.01904679
78 0.01903361
79 0.01902157
80 0.01901049
81 0.01900031
82 0.01899092
83 0.01898261
84 0.01897479
85 0.01896715
86 0.01895964
87 0.01895239
88 0.01894538
89 0.01893865
90 0.01893214
91 0.01892587
92 0.01891973
93 0.01891375
94 0.01890794
95 0.01890227
96 0.01889664
97 0.01889112
98 0.01888564
99 0.01888025
100 0.01887495
101 0.01886978
102 0.01886468
103 0.01885971
104 0.01885484
105 0.01885012
106 0.0188456
107 0.01884118
108 0.01883691
109 0.01883285
110 0.01882897
111 0.01883079
