"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
1 0.006422193
2 0.01199471
3 0.01665209
4 0.01973339
5 0.02174428
6 0.02277482
7 0.02307211
8 0.02301631
9 0.02285899
10 0.02270765
11 0.02260806
12 0.02257566
13 0.02259189
14 0.02264597
15 0.02271655
16 0.02278788
17 0.02284955
18 0.02289659
19 0.02292461
20 0.02293035
21 0.02291685
22 0.02289082
23 0.02285901
24 0.02282723
25 0.0228
26 0.02277982
27 0.02276715
28 0.02276077
29 0.02275932
30 0.02276088
31 0.02276341
32 0.02276554
33 0.0227665
34 0.02276642
35 0.02276559
36 0.02276432
37 0.02276259
38 0.02276064
39 0.02275875
40 0.02275709
41 0.02275563
42 0.02275442
43 0.02275341
44 0.0227526
45 0.02275192
46 0.02275135
47 0.02275083
48 0.02275037
49 0.02274993
50 0.02274952
51 0.02274913
52 0.02274242
53 0.03346009
54 0.06168079
55 0.07965764
56 0.09209339
57 0.09924819
58 0.1019865
59 0.1025639
60 0.102143
61 0.1013941
62 0.1008009
63 0.1003854
64 0.1000811
65 0.09988926
66 0.09979595
67 0.09972344
68 0.09964091
69 0.0995589
70 0.09947878
71 0.09938648
72 0.09928889
73 0.09919066
74 0.09909292
75 0.09900004
76 0.09891603
77 0.0988415
78 0.09877506
79 0.09871417
80 0.0986582
81 0.09860653
82 0.09855897
83 0.09851664
84 0.09847699
85 0.09843835
86 0.09840053
87 0.09836408
88 0.09832877
89 0.09829491
90 0.09826217
91 0.09823059
92 0.09819961
93 0.09816946
94 0.09814014
95 0.09811151
96 0.09808308
97 0.09805515
98 0.09802736
99 0.09800006
100 0.09797316
101 0.09794687
102 0.09792092
103 0.09789561
104 0.09787071
105 0.0978466
106 0.09782345
107 0.09780081
108 0.09777886
109 0.09775797
110 0.09773803
111 0.09775009
