"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
1 -0.0005280655
2 -0.001280385
3 -0.002531122
4 -0.003491872
5 -0.003959557
6 -0.004076777
7 -0.003868182
8 -0.003516904
9 -0.003079001
10 -0.002634763
11 -0.002206302
12 -0.001815996
13 -0.00146386
14 -0.001153033
15 -0.0008743476
16 -0.0006191616
17 -0.0003796335
18 -0.0001507193
19 7.014988e-05
20 0.0002806245
21 0.0004773026
22 0.0006573267
23 0.0008219357
24 0.000973056
25 0.001112619
26 0.001242137
27 0.001362551
28 0.001475256
29 0.001581362
30 0.001682083
31 0.001777459
32 0.001866888
33 0.001949615
34 0.002025195
35 0.002093348
36 0.002153972
37 0.002207254
38 0.00225361
39 0.002293531
40 0.002327688
41 0.002356665
42 0.00238108
43 0.002401487
44 0.002418454
45 0.002432484
46 0.002444059
47 0.002453576
48 0.002461414
49 0.002467859
50 0.00247318
51 0.002477581
52 0.002481111
53 0.002847282
54 0.002367159
55 0.001240666
56 -2.013723e-06
57 -0.000999282
58 -0.001314652
59 -0.001030926
60 -0.0003897976
61 0.0003701238
62 0.0009976089
63 0.001414265
64 0.001615581
65 0.00158433
66 0.001350701
67 0.001016651
68 0.0006215023
69 0.0002001711
70 -0.0002157499
71 -0.0006025874
72 -0.0009450339
73 -0.001238227
74 -0.001457153
75 -0.001649162
76 -0.001818734
77 -0.001958284
78 -0.002076662
79 -0.002190442
80 -0.002292005
81 -0.002384989
82 -0.00247712
83 -0.002561096
84 -0.002637679
85 -0.00270611
86 -0.002767344
87 -0.002820516
88 -0.002865649
89 -0.002902532
90 -0.002931673
91 -0.002953545
92 -0.002969044
93 -0.002979008
94 -0.002984334
95 -0.002985846
96 -0.002984416
97 -0.002980758
98 -0.002975507
99 -0.002969171
100 -0.002962168
101 -0.002954839
102 -0.002947418
103 -0.002940099
